"ACTIVITY"	"MEAN WALKING"	"MEAN WALKING_UPSTAIRS"	"MEAN WALKING_DOWNSTAIRS"	"MEAN SITTING"	"MEAN STANDING"	"MEAN LAYING"	"STD WALKING"	"STD WALKING_UPSTAIRS"	"STD WALKING_DOWNSTAIRS"	"STD SITTING"	"STD STANDING"	"STD LAYING"
17	-0.0161914964818033	-0.0177233380416667	-0.017426875243913	-0.0338914162385937	-0.00791763521192308	-0.0169855805239437	0.0231916197081967	-0.4036548402375	-0.300269069806522	-0.733134827801562	-0.945762660512821	0.10130779541831
18	-0.0144151983123214	-0.0172924895224138	-0.0185673793803636	-0.0137151335977193	-0.00742940016616438	-0.0371801919492308	0.0757253115339286	-0.314679076248276	-0.159250932298182	-0.922033585263158	-0.942503191643836	0.0396616593538462
19	-0.0176528803459615	-0.02000607101	-0.0156794714825641	-0.0315437619023288	-0.00744416300178082	-0.0171524607277108	0.0154970087346154	-0.3271023053925	-0.289693260738462	-0.764847480538356	-0.942392520547945	0.118914624153012
20	-0.0157912617921569	-0.0175759847156863	-0.0179911060157778	-0.0328973636071212	-0.00834227285109589	-0.01661597835	0.066484200645098	-0.224271385092157	0.00690353130888889	-0.870773053348485	-0.942583907808219	0.00677003873529412
21	-0.0163797385903846	-0.00241124381489362	-0.0169363840495556	-0.0318207952116471	-0.00762567007269663	-0.016326710378	-0.295340529630769	-0.914137244042553	-0.677592840171111	-0.22849264742	-0.862809789351685	0.0471795401844444
22	-0.015611903861087	-0.020523240597381	-0.0136356303080556	-0.00960984163274194	-0.0148505507333333	-0.0326664308009722	0.129267267658696	0.00968966858571429	0.0270527148111111	-0.957559228064516	-0.735372040995238	-0.402370426365278
23	-0.0161173060866102	-0.0171791436313725	-0.0172510577207407	-0.0168665524377941	-0.00755097102691176	-0.0316233417747222	0.0475648490830509	-0.601686006576471	-0.0422740872851852	-0.861379293357353	-0.943949031323529	0.0532992802263889
24	-0.0176770317172414	-0.0184111668932203	-0.014390254984	-0.0150295182642647	-0.00769584379463768	-0.0328230318040278	0.0508443829586207	-0.561428999977966	-0.164219851014545	-0.810211261122059	-0.944711633768116	0.0356939749208333
25	-0.0162447314504054	-0.00622112151892308	-0.0161368171896552	-0.0204410562861538	-0.00569718787391892	-0.0315657726490411	-0.0175578770040541	-0.838195423189231	-0.448127648848276	-0.491039038892308	-0.942137381081081	0.0226512524917808
26	-0.0154653658884746	-0.00387989461090909	-0.018673946572	-0.0313715627316667	-0.00772604726391892	-0.0163980767603947	0.0072374530220339	-0.785150352678182	-0.338544917364	-0.569323705346154	-0.946200480540541	0.113694519859211
27	-0.0184148030370175	-0.0169981883901961	-0.0173658570704545	-0.0325311690438571	-0.008380502877875	-0.0152945217459459	0.0380878963719298	-0.612522556327451	-0.0994914593136364	-0.685155016071429	-0.945991549875	0.0545242778297297
28	-0.0175516065485185	-0.0147679990809804	-0.01865268175	-0.0353132008875	-0.00585055979835443	-0.015837964111125	0.00408531983148148	-0.760076903854902	-0.519986510741304	-0.391565628833333	-0.94258443721519	0.09037554351125
29	-0.0166028019679245	-0.0200807176881633	-0.0148757857539583	-0.007009690185	-0.0132388976773846	-0.0363312517285507	0.125446133320755	-0.0180042997040816	0.0015615800125	-0.9535585475	-0.925280628923077	-0.224924407478261
30	-0.0166077035830769	-0.0171508346692308	-0.0160837502664516	-0.00402807937854839	-0.0158007093259322	-0.0351914932555714	0.0598074117015385	-0.594735626841538	-0.278089120448387	-0.71073878216129	-0.972134672372881	-0.0775310318428571
